tanggal,judul,narasi
5-Feb-18,Brantas Kebeutalan Secara Dini,"#Brantas_Kebeutalan_Secara_Dini
 Anak2 #Brengsek berhati iblis
 Tolong viralkan
 Agar sampai ke orang tua yg anaknya jadi korban
 Dan dilaporkan ke Polisi
 Kepala Sekolah ybs diharapkan mengambil tindakan tegas
 Keluarkan anak2 jahanam ini dari sekolah ybs
 Dan sekolah2 lain jangan menerima anak2 rusak ini"
20-Dec-17,Felix Siauw : Umat Muslim Yang Mengucapkan Kata Selamat Natal Wajib Dipenjarakan Karena Menistakan Agama Islam,"Felix Siauw : Umat Muslim Yang mengucapkan Kata selamat natal Wajib Dipenjarakan Karena Menistakan Agama Islam
Republiknkri.org  Saya senang, karena sepertinya tidak akan ada provokasi seperti yang saya takutkan menjelang perayaan Natal 25 Desember 2017. Sayangnya saya harus menunda kesenangan saya itu, karena muncul video Felix siauw yang membahas soal Natal dan ada tudingan-tudingan yang sangat berbahaya. "
1-Jul-16,Klaim Jonru Bahwa Dunia Tidak Peduli Kepada Umat Muslim Korban Bom Turki,"Bagi mereka, umat Islam yang terbunuh memang tidak penting untuk dibicarakan"
18-Oct-18,Sikat Gigi Berbahan Bulu Babi, Hati-hati Saat Memilih Sikat Gigi! Anda Harus Tau ini!
27-Sep-18,"Bantah Nomor Urut 01 Untungkan Jokowi-Maruf Dalam Komputer Sistem Biner, Kpu Tegaskan Perhitungan Suara Dilakukan Secara Manual","Tidak berpengaruh sama sekali (penambahan angka 0 pada penghitungan suara), ujar Komisioner KPU, Hasyim Asyari, Rabu (26/9)."
12-Feb-18,"Wacana Pendaftaran Akun Medsos Tidak Hanya Menggunakan E-Ktp, Untuk Mendukung Jokowi","Cara membuat akun medsos dengan baik dan benar,harus menyertakan
 1.KTP
 2.KARTU KELUARGA
 3.NPWP
 4.JAMSOSTEK
 5.TANDA TANGAN JURAGAN PARTAI
 6.DUKUNG JOKOWI
 7?
 Sejak kapan PDIP punya Saham Medsos?"
27-Dec-16,Indochina Penyebutan Untuk Negara Baru Indonesia-China,"Sebuah postingan foto kontainer dengan tulisan Indocina diberi narasi provokatif. Berikut narasinya:
 apa negara indocina itu memang ada? Presidennya siapa?"
3-May-18,"Tidak Ada Sekber Ormas Dan Okp Untuk Capres Dan Cawapres, Jokowi Dengan Tito","Telah beredar SEKBER ORMAS DAN OKP dalam persiapan Capres dan Cawapres 2019-2024 Presiden Joko Widodo dengan Kapolri Jenderal Pol. Prof. H. Muhammad Karnavian, Ph. D, (Kawan Tito) adalah TIDAK BENAR / HOAX BE SMART NETIZEN YAA MITRA HUMAS ,"
21-Mar-18,Kunjungan Jokowi Ke Nz Disambut Aksi Papua Merdeka,VIRAL Video Jokowi DIPERMALUKAN di Selandia Baru. Intelijen Kecolongan?
6-Oct-17,Pki Ketangkep Basah!,"PKI KETANGKEP BASAH!
 
 #BREAKING_NEWS ; Acara PKI Di Klender Jakarta Timur Di Bubarkan Oleh TNI, FPI, FBR dan Bang JAPAR!
 
 ."
20-Jan-17,Kapolda Anton Charliyan Tiba-Tiba Melakukan Pencitraan Berpakaian Islami,Kapolda Anton Charliyan Tiba-Tiba Melakukan Pencitraan Berpakaian Islami
24-Nov-16,Kebakaran Mengurung Israel Setelah Dua Hari Pelarangan Adzan Di Palestina,"Kebakaran mengurung israel dari segala penjuru. Sudah 11 titik besar dan kini mendekati pangkalan militer israel. Kebakaran terjadi berselang 2 hari pelarangan adzan di wilayah Palestina. Israel mengemis bantuan ke Turki,Yunani dan Cyprus. Allahu Akbar!"
26-Apr-16,Walikota Solo Larang Buber Dan Halal Bihalal,Sekretaris Daerah (Sekda) Solo yang mengeluarkan surat edaran (SE) larangan buka bersama (bukber) dan halalbihalal yang mengatasnamakan satuan kerja perangkat daerah (SKPD).
8-Aug-19,Kementerian Pupr Beri Penjelasan Mengenai Isu Rumah Subsidi Sudah Habis,"Kalau selama ini sering dituliskan bahwa bantuan perumahan atau subsidi habis, sebetulnya tidak demikian. Kita lihat, FLPP itu capaian kinerjanya saat ini masih sekitar 70 persen. Jadi masih ada sekitar 30 persen yang kita bisa proses. Kalau diproses dan disetujui semua, maka SSB kinerjanya sekitar 60 persen. Berharap Agustus ini capaian itu bisa tercapai"
29-May-18,Suara Sumbang Petani Kendal Yang Digusur Proyek Tol,"Demi memuluskan ambisi proyek infrastruktur Tol nya jokowi rela menindas dan mendzolimi raktaynya sendiri!
 kelakuan seperti ini masih berharap suara rakyat untuk 2 periode ngimpi!
 #2109GANTIPRESIDEN"
27-Nov-17,"Saya Tidak Tahu, Saya Cuma Share","saya tidak tahu, saya cuma share"
22-Nov-17,"Dituduh Menistakan Agama, Walikota Risma Dilaporkan Ke Polisi","Dituduh Menistakan Agama, Walikota Risma dilaporkan ke Polisi"
19-Aug-17,Aksi Demo Membela Sahabat Driver Yang Terancam 4 Tahun Penjara,Izin share lur. Aksi demo membela sahabat driver yg terancam 4 tahun penjara.
20-May-17,: Polemik Ip Address Server Baladacintarizieq.Com,Polemik IP address server baladacintarizieq.com
27-Jun-16,"Dihadang Warga Penjaringan, Ahok Kabur Lewat Kebun","Gubernur DKI Jakarta Basuki Tjahaja Purnama (Ahok) berhasil meloloskan diri dari hadangan ratusan warga Penjaringan Jakarta Utara, yang sudah menunggu kehadirannya sejak 15:00 WIB."
3-May-19,Unggahan Hasil C1 Pleno Tps Di Bangil Pasuruan Berbeda Dengan Hasil Situng Kpu,"22:15
01/05/2019
Hasil C1 PLENO TPS
kenapa jadi berbeda dengan hasil scsn C1 situng kpu?"
27-Feb-18,"Polri Bongkar Grup The Family Mca, Sindikat Penyebar Isu Provokatif","Polri Bongkar Grup The Family MCA, Sindikat Penyebar Isu Provokatif"
23-Aug-17,: Nama Meikarta Diambil Dari Tragedi Mei Jakarta 98,Nama Meikarta diambil Dari Tragedi Mei Jakarta 98
15-Mar-20,Who: T&J Tentang Coronavirus ,"Coronavirus adalah keluarga besar virus yang dapat menyebabkan penyakit pada hewan atau manusia. Pada manusia, beberapa coronavirus diketahui menyebabkan infeksi pernafasan mulai dari flu biasa hingga penyakit yang lebih parah seperti Middle East Respiratory Syndrome (MERS) dan Severe Acute Respiratory Syndrome (SARS). Virus corona yang paling baru ditemukan menyebabkan penyakit coronavirus COVID-19."
5-Sep-18,Pertamina Bantah Mengurangi Kuota Bbm Bersubsidi Di Wilayah Solo Raya Dan Di Yogyakarta,"Atas isu terjadi kelangkaan Bahan Bakar Minyak (BBM) bersubsidi jenis solar di wilayah Solo Raya dan Daerah Istimewa (DI) Yogyakarta, PT. Pertamina akhirnya memberikan klarifikasi."
16-Jul-18,"Insinyur Google Dipukuli Sampai Tewas, 3 Kritis Dalam Serangan Penghakiman Massa Di India Yang Didorong Oleh Rumor Penculikan",Satu orang tewas dan tiga orang
11-Jan-18,Istrinya Sandi Dan Istrinya Derek Maras Adalah Kakak Adik,"Istrinya Sandi dan istrinya Derek Maras adalah kakak adik. Ini bisnis keluarga pakai tangan pemerintah Jakarta. Yang gede-gede gini gak ada yang ngeramein karena semua sibuk dengan lipstrik, gaya Sandi terbang dan remeh temeh lain yan dibuat untuk menutupi bancakan keluarga dan kroni."
10-Oct-17,Penyerang Masjid Quwwatul Dari Pdip,"Masjid Quwwatul Islam, Mataram No.1 Suryatmajan, Danurejan, Yogyakarta dirusak orang yang mengaku anggota PDI. Kedatangan orang tersebut mengagetkan 5 orang yang tidur di dalam Masjid tersebut sebab mereka langsung dilempari batu."
1-Dec-16,Di Turki Juga Ada Brand 212,Di Turkey juga ada brand 212
21-Oct-15,Syiah Di Indonesia,"Innalillahi wa inna ilaihi rojiun
 
 Kabar duka dari Negeri Tercinta
 
 Hari ini, ABI Ormas Syiah mengadakan Muktamar II dikantor Kementerian Agama RI?"
15-Apr-19,Klarifikasi Tvone Terkait Foto Ustadz Abdul Somad Dan Direksi Serta Karyawan Tvone Di Akun Twitter @Saididu,Rapat UAS dg TV ONE yang sudah dibayar oleh PRABOWO utk mengkondisikan Dukungannya utk pasangan PAS tidak terlepas dari peran KARNI ILYAS . UAS Mendapatkan dana Milyaran Rupiah dari Prabowo yang diambil dananya di AYANA MID PLAZA untuk bangun ISTANA MEGAH #UASDibayarPrabowo
2-Apr-19,Penjelasan Terkait Novel Baswedan Yang Disebut Jadi Partisipan Partai Gerindra Dan Ketidaknetralan Kpk Di Pilpres 2019,Ternyata Kompol Novel Baswedan Politikus Binaan Gerindra
19-Dec-18,Klarifikasi Taman Safari Indonesia Terkait Harbonas Sale Tiket Terusan Panda,"Kami atas nama Taman Safari mengecam keras tindakan tidak bertanggung jawab tersebut. Promo yang disebarkan melalui Instagram @tamansafari bukanlah pihak kami, tidak ada promo seperti itu"
09-Okt-18,Nissa Sabyan Bantah Diundang Panitia Pesta Raya Porda Jabar 2018 Untuk Mengisi Acara,Terkait pemberitaan sabyan batal tampil di stadion pakasari bogor
8-Sep-18,: Kpk Klarifikasi Bahwa Situs Kpk-Online.Com Bukanlah Milik Instansi Pemberantasan Korupsi Tersebut,"Karena beredarnya foto karangan bunga yang seolah-oleh dikirimkan oleh Komisi Pemberantasan Korupsi, kami tegaskan KPK tidak pernah mengirimkan karangan bunga tersebut dan KPK tidak terafiliasi dengan nama organisasi yang disebutkan di sana"
20-Nov-17,Ramai Berita Setnov Warga China Terus Datang,"Di Tengah Ramainya Berita SetNov, Warga Kebangsaan China Sampai Saat ini Terus Berduyun Masuk ke Negeri ini
Di Sengaja atau Tidak, Wallahu Allam
Lebih Parahnya Semua Media Bungkam, Mengecoh Langit Menyebrangi Lautan kah
#Indonesia_Waspada_Komunis
#Generasi_Muda_Akhir_Zaman"
24-Sep-17,Makam Tuhan Yesus Kristus Sedang Dibuka Untuk Pertamakalinya,"Makam Tuhan Yesus Kristus sedang dibuka untuk pertamakalinya. Ini terjadi diYerusalem ketika mereka meluncurkan marmer makam Tuhan Yesus suara Sangkakala terdengar dan awan membentuk lingkaran. Puji Tuhan fenomena yang tidak dapat dijelaskan terjadi hari ini di Israel.
 Like Pelik Tapi Benar"
6-Sep-17,"Video: Bantuan Turki Kepada Rohingya Sudah Datang, Erdogan Bukan Aktor Pencitraan","Video sumber diklaim sebagai peristiwa Recep Tayyip Erdogan, Presiden Turki, turun langsung membantu etnis Rohingya"
29-Jan-16,Kereta Cepat Yang Digarap China Di Iran Lebih Murah Dari Kereta Cepat Jakarta-Bandung,Biaya Proyek Kereta Api Cepat China Teheran-Isfahan Lebih Murah dari Jakarta-Bandung.
16-Agu-18,Kpk Bantah Terima Tiket Gratis Asian Games Dari Erick Tohir,"Wakil Ketua Komisi Pemberantasan Korupsi (KPK), Saut Situmorang membantah institusinya menerima tiket gratis Asian Games 2018 dari Ketua Indonesia Asian Games 2018 Organizing Committee (INASGOC), Erick Thohir."
26-Jul-18,Klarifikasi Kemenkes Terkait Tuduhan Penggunaan Foto Tanpa Izin Untuk Bungkus Rokok,foto pria menggendong anak yang digunakan pada bungkus rokok bukanlah Dadang.
29-Jun-18,Video Transmart Bocor Dengan Kucuran Air Yang Deras Dan Banjir Kecoklatan Bukan Di Yasmin Dan Duta Mall,"Itu bukan di kami, itu hoax, di kami ada juga kejadian pada hari minggu tapi tidak sperti yang di dalam video itu, tidak ada air sebesar itu dan genangan air, ujar Corporate Communications GM Transmart Carrefour Tajur, Satria Hamid, Selasa (26/6)."
14-Aug-17,Jari Tangan Pria Menghitam Setelah Membakar Al-Quran,"Setelah Membakar Al-Quran Jari Tangan Pria Ini Menghitam dan Membusuk Mengeluarkan Bau Menjijikan
 Postingan sudah dibagikan 320 kali dan 1500 kali, ketika tangkapan layar dibuat."
8-Jul-17,: Pemberian Izin Eksploitasi Emas Menggunakan Alat Berat Di Banyuangi,Pemberian Izin Eksploitasi Emas Menggunakan Alat Berat di Banyuangi
18-Oct-18,Dua Anak Yatim Piatu Tidur Di Dalam Atm Pom Bensin Galur Cempaka Putih,"Bagi yg lewat ke Pom Bensin Galur Cempaka Putih, mohon kasih sedekah ade ini.
Dia berusia 7 tahun bersama adiknya berusia 4 tahun, mereka sering tidur di ATM ini kadang di jalan kalau di usir.
Mereka yatim piatu. Ayah dan Ibu nya meninggal karena sakit, sekarang mereka hanya berdua hidup di kota besar Jakarta.
Sehari hari mereka memulung botol bekas dan kardus untuk makan sehari hari.
Sedih lihatnya. ?"
29-Agu-18,: Bbksda Jatim Mengklarifikasi Bahwa Wisata Alam Kawah Ijen Masih Dibuka,"Menyusul beredarnya surat edaran rencana penutupan Kawah Ijen, Balai Besar KSDA Jawa Timur langsung menerbitkan surat edaran susulan. Kawah Ijen tetap buka."
18-Jul-18,Kadis Lh Dki Jakarta Tidak Meminta Sejumlah Uang Untuk Keperluan Tertentu Melalui Akun Media Sosial,dgn modus minta bantuan dana yatim piatu dll.
30-May-18,Tidak Ada Penyerangan Rumah Ibadah Di Desa Pauh Ranap Riau,"Sudah kita klarifikasi langsung ke para pihak tidak ada terjadi seperti diberita tersebut, anggota saya sudah datang langsung"
29-Mar-18,"Jokowi Dituduh Jual Belikan Undangan Pernikahan Kahiyang-Bobby, Istana Angkat Bicara","Sebuah video yang diunggah ke Instagram oleh akun @arseto.suryoadji. Dalam video tersebut, si pemilik akun mengatakan: Gua buka ke publik ya, gua laporin ke Polda kalau perlu sekarang. Waktu Jokowi kawinan undangannya itu dijualin Rp 25 juta satu undangan sama orang-orang pendukung Jokowi, cuih
 Dasar koruptor lo semua koruptor, hah? Gua Arseto, mau apa lo? Mau nge-bully gua, gua bully lo emang lo koruptor, emang lo penjahat semua. Pendukungnya sama presidennya semua kok sama?
 Orang gila semua itu, main proyek. Emang baj**an-baj**an, se**n-se**n itu, beneran. Dan Jokowi udah tambah kaya sekarang, bisa bayar semua. (Suara samar-samar) itu boneka aja di belakangnya main korupsi semua itu. Yang bawa aja itu undangan dijual 25 juta, udah gila-gilaan dah mereka."
20-Mar-18,Konsumen Tuntut Produk Quaker Oats Karena Mengandung Pestisida,"Konsumen menuntut Pepscico memberikan ganti rugi. Namun demikian, pihak Pepsico enggan mengomentari perkara ini.  Tuntutan yang dilayangkan konsumen tersebut menyatakan bahwa citra Quaker Oats yang menampilkan potret pria Quaker dengan topi era kolonial bersifat menjebak. Pasalnya, konsumen seakan diajak berpikir bahwa oatmeal adalah makanan lawas, namun uji yang dilakukan menemukan produk itu mengandung biosida modern."
6-Mar-20,Hoaks Imbauan Anak Nu Dilarang Sekolah Di Muhammadiyah,"Imbauan kepada warga NU, untuk tidak menyekolahkan anak-anaknya di sekolah Muhammadiyah karena kami ingini menjaga kondusivitas dan aset milik kami. Tolong warga NU tepo seliro dan tahu diri  Prof Dr Haidar Nasir, Ketua Umum PP Muhammadiyah."
17-Dec-19,Kemenpan Rb: Tidak Ada Pengangkatan Cpns Jalur Indonesia Sehat,"udah dikonfirmasi, Kementerian Kesehatan tidak memiliki program pengangkatan CPNS jalur Indonesia Sehat,"
17-Dec-18,Penjelasan Data Dan Fakta Dari Pernyataan Djarot Saiful Hidayat Yang Membandingkan Kinerja Jokowi Dengan Sby Soal Pembangunan Di Sumut,"Sampai saya tuh berpikir begini, 10 tahun kita membangun, zaman Pak SBY, yang dibangun di Sumatera Utara ini opo? Ora ono? Sing nikmati?"
2-Mar-18,"Klarifikasi Pemerintah Daerah Raja Ampat Terkait Isu Gizi Buruk Di Kampung Saporkren, Distrik Waigeo Selatan","Bukan menderita gizi buruk tetapi menderita penyakit paru, dan sudah ditangani sejak 2013 hingga 2016 oleh perawat dari Puskesmas Saonek,"
26-Aug-17,: Hoax Marak Karena Rendahnya Literasi Di Media Sosial,Hoax Marak Karena Rendahnya Literasi di Media Sosial
5-Jan-17,Kerjasama Dengan Tiongkok Membuat Rel Kereta Cepat Di Uni Emirat Arab Dapat Hadiah Jutaan Pil Ekstasi,Kerjasama dengan Tiongkok membuat rel kereta cepat di Uni Emirat Arab dapat hadiah jutaan pil Ekstasi
27-Apr-16,Dpr Curiga 5 Buruh China Yang Ditangkap Tni Au Masuk Wilayah Halim Sebenarnya Intelijen,DPR Curiga 5 Buruh China Yang Ditangkap TNI AU Masuk Wilayah Halim Sebenarnya Intelijen
2-May-19,Klarifikasi Surat Edaran Intruksi Memasang Spanduk Ucapan Selamat Terpilihnya Prabowo-Sandi Sebagai Presiden Dan Wakil Presiden,INTRUKSI BADAN PEMENANGAN PRABOWO SANDI
25-Jul-18,Pertamina Tidak Bangkrut,"Kami tidak bangkrut. Capital expenditure kan memang terlambat, tapi tidak ada yang kami batalkan,"
30-Apr-18,"Lambangnya Dicatut Sekber Gerindra-Pks, Pbb Beri Klarifikasi","Pencantuman logo PBB dalam rumah sekretariat bersama tanpa konfirmasi ke saya selaku Ketua Bidang Pemenangan Presiden dan tanpa ada surat ke Sekretariat Jenderal PBB,"
24-May-17,Pertemuan Suku Dayak Menuntut Gubernur Kalimantan Barat Untuk Meminta Maaf,"Alhamdulillah.hasil pertemuan kepala suku Dayak se-kalimantan termasuk Sarawak,Sabah dan Brunei memutuskan bhw kericuhan di Pontianak bukan urusan suku Dayak.umat Islam adalah saudara merekapantang memusuhi umat Islam.atas perintah panglima Dayak .mereka menuntut gubernur Cornelius Kalbar utk meminta maaf secara terbuka dan turun dari jabatan gubernur.meminta kpd aparat penegak hukum utk mengusut penistaan agama tsb.jika tdk.maka HUKUM ADAT akan diberlakukan di Pontianak thdp Cornelius dan pengikutnya.demikian hasil rapat pemuka adat suku Dayak se-kalimantan"
5-Nov-17,Moms.Hati2 Yaaa.Skrg Video Porno Bisa Di Search Lewat Wa,"Dr grup sebelah
Momshati2 yaaa.skrg video porno bisa di search lewat WA
Yg android:
1. Buka Tanda emoticon smile di pengetikan teks wa
2. Buka tanda gif
3. Search di kolom pencarian disebelah pojok kiri dengan nama sex. "
15-Mar-20,Kemendagri Bantah Tito Karnavian Terjangkit Covid-19,"Spekulasi Menteri Dalam Negeri (Mendagri) Tito Karnavian terkena virus corona langsung mencuat setelah mantan Kapolri itu mengunjungi Rumah Sakit Umum Pusat (RSUP) Persahabatan, Jakarta Timur, Sabtu (14/3/2020). Maklum, kekhawatiran akan penyebaran virus corona ke anggota Kabinet Kerja Jilid II kini semakin menguat menyusul konfirmasi Menteri Perhubungan, Budi Karya Sumadi yang dinyatakan positif Covid-19. Seperti diketahui, RS Persahabatan menjadi rumah sakit rujukan untuk penanganan pasien akibat virus corona."
15-Oct-19,Klarifikasi Terkait Isu Bank Artos Diakuisisi Gojek Menjadi Bank Gojek,"Menanggapi hal tersebut, pihak Bank Artos memberikan klarifikasinya. Plt Direktur Utama dan Sekretaris Perusahaan Bank Artos Deddy Triyana, informasi mengenai Gojek dan Bank Artos bukan berasal dari perseroan. Dia juga menyebut hingga kini Bank Artos tak pernah berbicara perihal rencana akuisisi Gojek."
4-Jul-18,Pemkab Kotim Dan Pihak Rsud Dr Murjani Sampit Bantah Rumah Sakitnya Turun Kelas,"Jadi, tidak ada turun kelas."
14-Jun-18,Isi Pidato Yahya Staquf Di Yerusalem Soal Israel-Palestina,Kunjungan Yahya Cholil Staquf ke Yerusalem menuai kecaman dan kemarahan dari kalangan pembela Palestina.
4-Jan-18,Semut Charlie,"Kaget banget ngeliat ini semut ada dideketx Nabiluntung liat dan langsung saya the end.
Untungx juga liat postingan kk Laely Akbar semalam jadi tau ini semut berbahaya banget.
Semoga ga ada lagi semu2 yang kayak gini lagi.
Bersyukur sekali saya liatkalo ga mungkin Nabil udah digigit? saya kira ada diluar negri aja ini semuteh taux liat langsung dan hampir gigit Nabil?namax semut CHARLIE
1x kita ."
5-Dec-17,Mentri Agama Nangis Di Acara Lgbt,"Mentri Agama?Nangis2 di Acara LGBT!
Viral video Gus Nur soal Menteri Agama yang hadir dan menangis nangis di acara LGBT, penasaran mana sih videonya ? Just Remind Monggo !
#MentriAgamaNangis2diAcaraLGBT"
15-Oct-17,Kesediaan Umat Islam Melakukan Doa Untuk Warga Jayapura,"Mhon kesediaannya sbg umat Muslim melakukan doa untuk sodara2 kita di Jayapura.
 Dalam upaya penolakan terhadap pemda manokwari yang menetapkan Manokwari sebagai kota INJIL & melarang :."
2-Jan-17,Bpjs Lebih Sadis Dari Pajak,"Bener Nggah nie.
 Bagi yg sudah mengikuti BPJS apakah ada yg telah menerima surat edaran mohon bisa dibuka disini
 * MENGERIKAN, . . . . . *
 BPJS lebih sadis dari PAJAK"
25-Sep-19,Mahasiswa Unsri Meninggal Dunia Setelah Terjatuh Dari Lantai Tiga Apartemen Unsri,"Mahasiswa Universitas Sriwijaya (Unsri) asal Jambi, Irfan Maulana Amrullah, menghembuskan nafas terakhir, Senin (23/9/2019) di RS Moeh Husin, Palembang. Mahasiswa tersebut terjatuh dari lantai tiga apartemen Unsri dan meninggal sekitar pukul 19.00 WIB setelah berjuang dari keadaan koma."
23-May-18,"Tidak Ada 220 Anak Palestina Yang Mengungsi Dan Siap Diadopsi Di Belawan, Medan","Foto-foto itu adalah kabar bohong, nggak ada itu bang. Itu hoaks yang disebar orang yang tidak bertanggung jawab,"
7-Nov-17,Cara Cerdas Mencegah Penyebaran Hoax Di Media Sosial,Cara Cerdas Mencegah Penyebaran Hoax di Media Sosial
15-Oct-17,Sebuah Rezim Yang Mencari Solusi Pembiayaan Pembangunan Dengan Cara Menjual Aset-Aset Vital Negara,"Sebuah Rezim yang mencari solusi Pembiayaan pembangunan dengan Cara Menjual Aset-aset Vital Negara yang sudah susah payah dibangun oleh Rezim sebelumnya, adalah Rezim Primitif.
 Pola menjual Aset bangsa untuk kepentingan sesaat pada saat Berkuasa adalah pola yang mirip dilakukan oleh Emak-emak yang sedang panik ketika dikejar-kejar tukang Kredit.
 Apalagi Jika yang dijual oleh Rezim berupa Aset Vital Nasional berupa Bandara-bandara Internasional dan Pelabuhan-pelabuhan Internasional, Kebijakan ini akan mengancam kedaulatan dan Keamanan Nasional."
9-Apr-17,Pabrik Semen Rembang Diyakini Tak Ganggu Produksi Air Tanah,"Menurut Surono, meskipun pabrik semen Rembang dibangun di wilayah Cekungan Air Tanah (CAT), namun produksi air di daerah tersebut tidak akan terganggu asalkan konstruksinya tidak menganggu sistem akuiver atau sirkulasi air tanah. CAT itu ditandai dengan daerah imbauan air di atas permukaan tanah, kemudian daerah keluaran mata air. Jadi tidak semua CAT itu karst, tidak semua batu kapur itu karst, kata Surono, Senin (3/4)."
2-Jan-17,Sandiaga Uno Memperoleh Pemberkatan Dari Pemuka Kristen Pada Saat Natal,"Sandiaga Uno hadir dalam acara perayaan natal di mana Uno tampak memperoleh doa (pemberkatan) dari para pemuka kristen.
 Dia mengabaikan begitu saja fatwa MUI yang
 mengtakan haram bagi umat islam mengikuti
 kegiatan peribadatan Kristen."
17-Sep-19,Klarifikasi Terkait Isu Perubahan Nama Terminal Di Bandara Soekarno-Hatta,"Atas isu tersebut, pihak Angkasapura II berikan klarifikasi. Executive General Manager Bandara Internasional Soekarno-Hatta, Agus Haryadi menegaskan tidak ada pergantian atau penambahan nama pada Bandara Internasional Soekarno-Hatta (Soetta) maupun Terminal 1, Terminal 2, dan Terminal 3 di bandara tersebut."
10-Okt-18,: Penyerang Masjid Quwwatul Dari Partai Pdip,: PENYERANG MASJID QUWWATUL DARI PARTAI PDIP
19-Sep-18,Kemenkeu Tidak Memblokir Rekening Ruben Ps Marvey Yang Berisikan Dana Bantuan Pembangunan Papua,"Ratna Sarumpaet menuding pemerintah telah melakukan pemblokiran terhadap rekening salah seorang warga asal Papua. Tudingan itu berasal dari laporan Ruben PS Marey yang mendatangi Ratna Sarumpaet Crisis Center (RSCC). Ruben mengaku simpanan dana dari World Bank sebesar Rp23,9 triliun untuk pembangunan Papua yang tersimpan di rekening pribadinya sejak 2016 telah hilang."
28-Agu-18,Kpai Bantah 55 Anak Meninggal Karena Korban Vaksin,"Bahwa tidak benar adanya 55 anak yang wafat karena menjadi korban vaksin. Ini berita hoaks, mohon kita semua dapat melakukan re-check terhadap informasi yang perlu diklarifikasi,"
5-Jul-18,Kepolisian Bantah Telah Menangkap Pelaku Jambret Di Cempaka Putih,"Iya identitas sudah dikantongi, kami masih lakukan penyelidikan mas, kata Komisaris Rosiana"
23-Dec-17,"Donald Trump Jalin Kerjasama Dengan Hary Tanoe, Mnc Group Akan Jadi Alat Propaganda Islam","?
Donald Trump Jalin Kerjasama dengan Hary Tanoe, MNC Group Akan Jadi Alat Propaganda Islam"
8-Jan-17,Tips Hindari Ancaman Pidana Menyebarkan Hoax,Tips Hindari Ancaman Pidana Menyebarkan Hoax
15-Aug-16,Isu Warga Kehormatan Acandra Tahar,Di Amerika walau Anda warga negara asing namun prestasi Anda luar biasa maka pasti mendapat hak istimewa berupa extra ordinary person atau semacam honorary Citizen dan dapat green card pada awalnya dan kemudian passport.
29-Agu-18,"Dirumorkan Punya Aturan Baru Pembatasan Waktu Pasien Bertemu Dokter, Bpjs Angkat Bicara","Kepala Humas BPJS Kesehatan, M. Iqbal Anas Maruf : Sekarang diuji coba dulu untuk dapat melakukan rujukan ke RS bagi pasien yang secara indikasi medis memerlukan pelayanan spesialis. (Sistem rujukan) menggunakan IT atau online,"
19-Jul-18,Tidak Ada Pesawat Yang Tenggelam Seperti Terlihat Di Google Maps,"Pesawat Mh370 ,Yang Hilang dari tahun 2014"
13-May-18,Kurma Impor Produksi Israel,"*Jangan Dibeli*
 Dr. Anang Saifuddin, MA
 Dosen UIN Antasari Bjm
 Inilah daftar merk kurma import asal Israel,negara ini membunuhi kaum Muslimin :
 As we prepare for Ramadhan, please take special care to avoid buying Israeli dates, which are sold under these brand names:
 Bomaja
 Carmel Agrexco
 Delilah
 Desert Diamond
 Hadiklaim
 Jordan Plains
 Jordan River
 King Solomon
 Paradise Dates
 Rapunzel
 Red Sea
 Royal Treasure
 Shams
 Tamara.
 BANTU SEBARKAN
 Terima Kasih"
3-May-18,"Tidak Ada Bom Di Pesawat Lion Air Jt 120 Rute Cengkareng - Tanjung Pandan, Belitung","Dengan kerja sama yang baik antara kru pesawat, petugas layanan di darat (ground handling) dan petugas keamanan bandar udara (aviation security/ avsec) proses pemeriksaan diselesaikan secara tepat dan benar. Hasilnya tidak ditemukan barang bukti berupa bom seperti yang diinfokan salah satu penumpang kami,"
23-Jan-18,7500 Jadi 7600 Oh Pakde Kenapa Anda Diam?,"7500 jadi 7600
 Oh pakde kenapa anda diam?
 PAKDE MAH GITU
 SUKA DIEM2 KALO NAIKIN HARGA
 PREMIUM DIPUNAHKAN
 PERTALITE DINAIKKAN
 PERTALITE DINAIKKAN"
20-Apr-17,Ketika Anies-Sandi Menang Dengan Kekuatan Kaum Radikal Indonesia,Ketika Anies-Sandi menang dengan kekuatan kaum radikal Indonesia
20-Nov-16,Penjara 6 Tahun Dan Denda Rp 1 Miliar Bagi Pelaku Informasi Hoax,"Penulis, pengirim, dan atau penyebar berita bohong atau hoax harus berhati-hati. Pelaku bisa diancam pidana penjara enam tahun dan atau denda Rp 1 miliar."
9-Sep-19,Klarifikasi Terkait Isu Terlantarnya Mahasiswa Ntb Di Korea Selatan,"Kondisi baik baik saja dan sedang kursus bahasa, nggak ada yang terlantar, kelewatan saja teman-teman bikin HL (Head Line) . Memang belum masuk kuliah karena harus kursus bahasa dulu"
19-Oct-18,"Waduh, Penyusup Dari China Berdatangan Mulu","Waduh, Penyusup dari China berdatangan mulu. Bisa kegusur kita kalau pulau reklamasi teluk Jakarta nggak muat buat nampung mereka."
09-Okt-18,Kepolisian Tepis Isu Penyerangan Oleh Warga Rumpin Bogor,Infonya 7 desa dari rumpin mo ada penyerangan .
