ID,tanggal,judul,narasi,label
1065,7-Nov-16,Kominfo Menginisiasi System Big Data Cyber Security,"Yth. Rekan-rekan semua. Menginformasikan & mengingatkan kepada teman-teman agar tidak lupa bahwa system Big Data Cyber Security (BDCS) Indonesia sdh terpasang, menyusul rencana Wantanas RI (Dewan Pertahanan Nasional) yg akan mengambil semua informasi melalui internet di Indonesia",1
1066,29-May-16,Ridwan Kamil dicaci maki oleh berbagai pihak,"Pendapatnya bahwa “Jokowi sosok ideal pemimpin masa kini” (Dalam ungkapannya tersebut, Ridwan Kamil dituduh mengatakan bahwa kita tidak lagi memerlukan teladan figur Nabi)",1
1067,6-May-16,Papa Kilo Kode PKI,gambar mobil dengan stiker Papa Kilo dan disertai tulisan “Sandi PKI: Papa Kilo Indonesia Pilot,1
1068,22-Feb-16,Tulisan Sarlito Wirawan Sarwono Tentang LGBT,"LGBT: SEBUAH GERAKAN PENULARAN
 
 SARLITO WIRAWAN SARWONO
 Guru Besar Fakultas Psikologi UI
 
 Mungkin ada yang heran bertanya, kenapa saya begitu keras terhadap perilaku lesbianism, gay, bisexual and transsexualism (LGBT). Saya seakan penuh murka dan tak memberikan sedikitpun ruang toleransi bagi pengidapnya.",1
1069,23-Oct-15,BKMG menyarankan menaruh baskom air yang dicampur garam supaya hujan cepat turun,Ajakan menaruh air dicampur dengan garam di dalam ember untuk membantu proses turunnya hujan.,1
1070,7-Aug-20,Surat Panggilan Kerja oleh PT KAI 15 Agustus 2020,PENGUMUMAN KELULUSAN REKRUT BERSUMBER DARI AKADEMI PERKERATAAPIAN INDONESIA TAHUN 2020,1
1071,6-Jul-20,Tentara India membunuh kakeknya dan bocah laki-laki ini mengambil batu untuk membunuh pembunuh kakeknya.,"Tentara India membunuh kakeknya dan bocah laki-laki ini mengambil batu untuk membunuh pembunuh kakeknya. Sekarang tanyakan kepada dunia jika bocah ini mengambil senjata setelah dia besar untuk membunuh pembunuh kakeknya, akankah dunia memanggilnya teroris ?? #Save_Kashmir R.Ul Islam",1
1072,17-Jun-20,Video Detik-Detik Jembatan Wuhan Runtuh,"Ngeri…Detik..detik Jembatan Wuchan..Wuhan Runtuh tadi pagi. Di Negerinya Sendiri aja runtuh, apalagi di negeri orang nantinya ? Kwalitasnya Bagaimana ?",1
1073,22-May-19,Informasi yang Berisi Adanya Rombongan Gangster Sudah Ada di Samarinda dan Membunuh 60 Orang,"Ternyata tgl 22 Mei itu bukan hoax. Itu benar2 nyata. Sebab Rombongan gangster udah membunuh 60 orang laki2 dan perempuan. Dan termasuk kakaknya, teman saya udah jadi korbannya, harap tidak ada lagi korban selanjutnya. Jika anda benar2 syg sma orang terdekat anda tolong sebarkan berita ini. Dan semoga kita slalu dilindungi dari mara bahaya oleh Allah SWT. Amin.",1
1074,9-Apr-20,Foto Pemerintah jawa timur sdh menyiapkan 52 buah tempat kurantin bagi TKI yg bru pulang dari luar negri.,Pemerintah jawa timur sdh menyiapkan 52 buah tempat kurantin bagi TKI yg bru pulang dari luar negri. Mereka akan Di kuarantin selama likor likor nam belas hari,1
1075,2-Apr-20,Ternyata virus corona dapat diobati dengan  cara berendam di AIR LAUT,Ternyata virus corona dapat diobati dengan cara berendam di “AIR LAUT”….!! saya merasa saya kuat saya bisa.tdk ada satupun tempat yg mau menerima saya dan pada ahirnya saya pergi ke tepi laut.setiap siang saya berendam dan berjemur ditepi laut selama seminggu berturut turut dengan wktu dua jam perhari Alhamdulillah batuk saya hilang nafas saya seperti biasa nya. kepala saya pun kembali enteng suhu tubuh saya normal. Saya cekup ke RS Rawat inap pasien covid 19.Alhamdlllh saya ternyata saya dinyatakan negatif cofid 19. padahal sblmya saya dinyatakan positif covid 19.,1
1076,27-Feb-20,Pesan Undian Berhadiah dari PT Pertamina,"Info resmi
 
 KANTOR PUSAT
 
 PT.PERTAMINA (Persero)
 
 M-ngucapkan
 
 SELAMAT..!!!
 
 Anda Mendapatkan
 
 Hadiah Rp. 100juta
 
 PIN-(27dd45)
 
 U/info klik
 
 Bit.ly/promo2020-pertamina",1
1077,26-Feb-20,sabobase kelakuan kubu sebelah,"Bang @aniesbaswedan Sy dpt lagi ini video. Apakah ini yg namanya *sabobase* untuk menjatuhkan Anies Baswedan dan mengganjal langkah Anies menjadi Presiden ???? *Busuk benar kelakuan kubu sebelah (kecebong, liberal, sekuler, komunis, syiah dan kaum munafik)",1
1078,16-Dec-19,"Missed Call Dari Nomor Luar Negeri yang Dapat Menyalin Daftar Kontak, Mengakses SIM Card, dan Menjebol Data Bank","Himbauan:
 Penting dan Mendesak …
 Tolong sampaikan pesan ini kepada keluarga dan teman-teman Anda. Akhir-akhir ini banyak yang menerima panggilan telefon dari
 tel: +375602605281,
 tel: +37127913091
 tel: +37178565072",1
1079,13-Nov-19,Video Produksi Beras Plastik,Sereem iiiiih beras dari kantong plastik….penjahat bnget nieeh orng..,1
1080,24-Oct-19,"Ahok datang, gedung DPR/MPR tiba-tiba bau taik!","Ahok datang, gedung DPR/MPR tiba-tiba bau taik!,",1
1081,14-Oct-19,Susunan Kabinet II Jokowi-Amin,"Berikut Susunan Kabinet II Jokowi-Amin yang baru saja #NgafeBisnis terima :
 KOMPOSISI IDEAL KABINET KERJA JILID II PERIODE 2019-2024
 Presiden RI: Ir. H. Joko Widodo
 Wakil Presiden RI: Prof. Dr (HC) KH. Ma’ruf Amin
 MENTERI KOORDINATOR
 1. Menteri Koordinator Bidang Polhukam :
 Luhut Binsar Pandjaitan
 2. Menteri Koordinator Bidang Perekonomian:
 Sri Mulyani",1
1082,9-Oct-19,Maruf Amin hanya buat cari suara doang setelah itu akan diganti,"Ternyata benar Pridiksi,Ma”ruf Amin hanya buat cari suara doang setelah itu akan di ganti.",1
1083,28-Sep-19,"Kemenag akan Hapus Materi Perang Uhud, Badar, dan Sebagainya dari Kurikulum Madrasah","ASTAGHFIRULLAH HAL ‘ADZHIIIM….
 Pak Mentri ini mau gimana sihhh…..Tak perlu hapus segala [pelajaran] sejarah perang Rosulullah dan peperangan dalam Islam lainnya. Justru sejarah perang Islam utu penting disosialisasikan agar umat manusia makin tahu tentang Islam yang terbuka toleransi dengan ikon Islam. Apakah anda beranggapan bahwa islam mengajarkan TERORISME",1
1084,5-Aug-19,Listrik Dipadamkan Bergilir Setiap 3 Jam,"Buat yg listriknya udah nyala:
 Pesan teman yg kerja di PLN, krn tiap 3 jam akan dimatiin bergilir jadi segera isi air dan charge segala handphone atau lampu cadangan.
 Silakan disiapkan temans!",1
1085,4-Feb-19,"Stroke Kambuh, Prabowo Batal Orasi Politik di Acara Fraksi PKS","Stroke Kambuh, Prabowo Batal Orasi Politik di Acara Fraksi PKS",1
1086,18-Sep-18,Tidak Semua Operator Seluler Menyediakan RBT Jokowi Saja,"“Program tersebut tidak ada,” ujar General Manager External Corporate Communication Telkomsel, Denny Abidin, Senin (17/9).",0
1087,21-Agu-18,Letda Inf Agus Prayogo Sudah Meraih Medali Emas Pada Ajang ASIAN Games Tanggal 21 Agustus 2018,Letda Inf. AGUS PRAYOGO (Caba PK 15) sumbangkan satu mendali Emas di sea Games 2018 di Cabang Atletik 10k,1
1088,26-Jul-18,Jelang ASIAN Games Jakarta Makin Cakep Bravo Anies-Sandi,"JELANG ASIAN GAMES 2018, JAKARTA MAKIN CAKEP AJA NIH",1
1089,18-Jul-18,PT Indonesia Morowali Industrial Park Membantah Isu Senjata Api Selundupan,80 ribu pekerja,0
1090,12-Mar-18,"Rudi Hartono, Legenda Bulu Tangkis Meninggal","Indonesia berkabung
 Rudi Hartono pahlawan bulu tangkis meninggal dunia
 #RIP",1
1091,28-Feb-18,Kemkominfo Buat Help Desk Registrasi Kartu Prabayar,Kemkominfo Buat Help Desk Registrasi Kartu Prabayar,1
1092,24-Feb-18,Pembunuh Berantai Memancing Korban Menggunakan Bayi Menangis,"Seorang Perempuan, Ida Laniari:
 Mendengar bayi yang menangis di terasnya malam hari, dan dia menelpon polisi karena saat itu sudah larut malam, Dan dia merasa ada yang aneh…..
 polisi memberitahu dia, apapun yang terjadi, JANGAN buka pintunya…..",1
1093,5-Feb-18,Brantas Kebeutalan Secara Dini,"#Brantas_Kebeutalan_Secara_Dini
 Anak2 “#Brengsek” berhati iblis…
 Tolong viralkan…
 Agar sampai ke orang tua yg anaknya jadi korban…
 Dan dilaporkan ke Polisi…
 Kepala Sekolah ybs diharapkan mengambil tindakan tegas…
 Keluarkan anak2 jahanam ini dari sekolah ybs…
 Dan sekolah2 lain jangan menerima anak2 rusak ini…",0
1094,20-Dec-17,Felix Siauw : Umat Muslim Yang mengucapkan Kata selamat natal Wajib Dipenjarakan Karena Menistakan Agama Islam,"Felix Siauw : Umat Muslim Yang mengucapkan Kata selamat natal Wajib Dipenjarakan Karena Menistakan Agama Islam
Republiknkri.org – Saya senang, karena sepertinya tidak akan ada provokasi seperti yang saya takutkan menjelang perayaan Natal 25 Desember 2017. Sayangnya saya harus menunda kesenangan saya itu, karena muncul video Felix siauw yang membahas soal Natal dan ada tudingan-tudingan yang sangat berbahaya... ",0
1095,19-Oct-17,"Istri Ahok: Pribumi Indonesia Jadi Rakyat Aja Ngerepotin, Apalagi Jadi Pemimpin!","menolak untuk LUPA.. Istri Ahok: Pribumi Indonesia Jadi Rakyat Aja Ngerepotin, Apalagi Jadi Pemimpin!",1
1096,14-Oct-17,Jokowi Nama Lahirnya Herberthus,"*—-> JOKOWI NAMA LAHIR NYA HERBERTHUS, BER AGAMA KRISTEN.
 – SAAT JELANG DAFTAR JABATAN WALIKOTA NAMA NYA DI GANTI JOKOWIDODO.
 –
 – AYAHNYA BERNAMA OEY HONG LIONG ALIAS WIDJIATNO, NON MUSLIM.
 AKTIVIS PEMUDA RAKYAT – PKI.
 DI KENAL KEJAM DAN SADIS, PADA TGL 1.OKTOBER 1965. MEMBANTAI PULUHAN JIWA KAUM NAHDIYIN TEWAS DI TEMPAT, DI KAMPUNG GIRI ROTO, NGEMPLAK BOYOLALI, JATENG.....",1
1097,3-Dec-16,Year End Fun Walk Lippo Karawaci Terkait Aksi Tandingan 411,"Udah MAKIN JELAS kan ?
 
 Tidak hanya rakyat, …..
 
 TNI, Polri, Satpam, PNS, Ormas, Parpol plat merah, Karyawan dan keluarganya, perusahaan, bahkan Rumah Sakit pun DIPAKSA REPOT karena DIWAJIBKAN oleh penguasa untuk ngikut Aksi 412.",1
1098,30-Oct-16,: 500 WN China Datang ke Jakarta untuk Bela Ahok,Sebuah pesan berantai menyebutkan 500 WN China datang ke Jakarta melalui Bandara Soekarno-Hatta untuk membela Gubernur DKI Basuki Tjahaja Purnama (Ahok).,1
1099,1-Jul-16,Klaim Jonru Bahwa Dunia Tidak Peduli Kepada Umat Muslim Korban Bom Turki,"Bagi mereka, umat Islam yang terbunuh memang tidak penting untuk dibicarakan",0
1100,21-Jan-16,Rayhaneh Jabbari Dihukum Gantung oleh Pemerintah Iran,Raihanah Jabbari …muslimah sunni dihukum mati oleh pengadilan syiah Iran karena membunuh laki2 yang hendak merusak kehormatannya … di pengadilan Hakim bertanya padanya : ” Mengapa engkau membunuh laki2 itu ? ” …,1
1101,7-Aug-20,Data Pertumbuhan Ekonomi Aceh,Rata-rata Pertumbuhan Ekonomi Per Tahun Kota Di Aceh Periode : 2017 – 2019 Kota Sabang No. 1 tertinggi laju Pertumbuhan Ekonomi di bawah Pimpinan NASU,1
1102,2-Aug-20,Tangkapan Layar Berita RK Ajak ABU JANDA Jadi Relawan Uji Vaksin COVID-19 Buatan China,RK Ajak ABU JANDA Jadi Relawan Uji Vaksin COVID-19 Buatan China,1
1103,24-Jul-20,FPA Siap Dukung Jokowi dengan Syarat Semua Laskar Harus Diangkat Menjadi PNS,"Berbalik Akan Dukung Jokowi Korlap FPA : Ya Kami Siap Dukung Jokowi Dengan Syarat Semua Laskar FPA Harus Diangkat Menjadi PSN,",1
1104,8-Jul-20,Dirut RSUI bersama 2 Direktur RSUI lainnya dan 10 staff RSUI saat ini dirawat di RSUI terkena Covid,Rekan2 di Jkt dan sekitarnya…. mohon berhati2 ya…… Saat ini Jkt dan sekitarnya penularan Covid meningkat. Dirut RSUI bersama 2 Direktur RSUI lainnya dan 10 staff RSUI saat ini dirawat di RSUI terkena Covid. Banyak perawat di RS Swasta di Jkt saat ini terjangkit Covid. Semoga diberi kesembuhan Kiranya kita semua waspada….,1
1105,1-Jun-20,Another Simpson prediction that became a reality !! #TheyKnew,another Simpson prediction that became a reality!! #TheyKnew”,1
1106,29-May-20,Pembatasan Sosial Jakarta-Bandung Sudah Tidak Diterapkan Lagi,"TIDAK ADA LOCKDOWN, TIDAK ADA MASKER, LALU LINTAS TOL BANDUNG JAKARTA, JAKARTA-BANDUNG",1
1107,23-May-20,Daftar Virus yang Berasal dari China,MORE LEFT WING FACEBOOK CENSORSHIP As famously said “a picture says it all,1
1108,2-Apr-20,Video Azan PERTAMA di SPANYOL Setelah 500 Tahun dilarang,"Setelah 500 tahun yang lalu Azan dilarang di Spanyol (andalusia), baru kemarin (28 Maret 2020) Azan di daerah ini untuk pertama kali di kumandangkan, dan ini terjadi saat krisis Corona berlangsung secara Global. Apapun yg terjadi haruslh berbaik sangka Kpd Allah, MasyaAllah… Semogah wabah corona 19 ini cpt berlalu
 Allahuakbar Allahuakbar Allahuakbar",1
1109,2-Mar-20,Video 280 Jemaah Umrah Tertahan di Pesawat dan 18 Di Antaranya Positif Terinfeksi Virus Corona,"Ada 280 jamaah Umroh dari palembang dan makassar disini .. semua pada nangis.
 
 18 jamaah indonesia di nyatakan positif terinfeksi virus corona . sekarang mereka semua 1 pesawat tidak diijinkan masuk saudi harus dibawa pulang ke INDONESIA.",1
1110,14-Dec-19,Erick Thohir nyamar jadi tukang bakso waktu bongkar skandal Ari Garuda,Erick Thohir nyamar jadi tukang bakso waktu bongkar skandal Ari Garuda. Teknik penyamaran tukang bakso adalah ciri khas intel Indonesia yang sudah ada sejak masa Orde Baru…,1
1111,22-Nov-19,Anies Diberi Gelar Kehormatan oleh Perkumpulan Tiong Hoa dg Nama Liem Ay Bon,Anies Diberi Gelar Kehormatan oleh Perkumpulan Tiong Hoa dg Nama Liem Ay Bon,1
1112,7-Jun-19,Kecelakaan Beruntun di Tol Pemalang akibat  yang dari awal searah tiba-tiba dibuat 2 arah,"Mimpi buruk
Kecelakaan mengerikan terjadi di Jalan Tol Pemalang yang dari awal searah tiba2 dibuat 2 arah…resikonya begini…, hati2 dlm mengemudikan mobil bila tiba2 tol diubah jadi 2 arah…
#AdminDedi",1
1113,14-Mar-19,Saat-saat terakhir korban kecelakaan pesawat Ethiopian Airlines Boeing 737 Max-8,The last moments of the Ethiopian plane crash victims. God have mercy!,1
1114,6-Feb-19,Postingan Facebook Tutut Soeharto yang Menyindir Jokowi Tentang Pembangunan Jalan Tol,"“Dik Joko Widodo masih kuliah aja.”
“Sy sudah bangun tol bersama Hutama Karya.”
“Jd klo sekarang nerusin tol” yg ada itu hanya penambahan..”
“Jangan merasa bpk pembangunan dik jokowi.”
“Krna bapak pembnguann masih melekat dihati rakyat adalah almarhum HM SOEHARTO. Bkn yg lain..
“Ayo bersatu kmbali dukung no 2. PRABOWO SANDI,”",1
1115,18-Oct-18,Sikat Gigi Berbahan Bulu Babi, Hati-hati Saat Memilih Sikat Gigi! Anda Harus Tau ini!,0
1116,27-Sep-18,"Bantah Nomor Urut 01 Untungkan Jokowi-Maruf dalam Komputer Sistem Biner, KPU Tegaskan Perhitungan Suara Dilakukan Secara Manual","“Tidak berpengaruh sama sekali (penambahan angka 0 pada penghitungan suara),” ujar Komisioner KPU, Hasyim Asyari, Rabu (26/9).",0
1117,25-Jul-18,Rumah Sakit Jiwa Kampret,KAMI SIAP MERAWAT PENDUKUNG PRABOWO YANG STRES & GILA JIKA KALAH DI PILPRES 2019 NANTI,1
1118,22-Mar-18,AIR MINERAL BISA MELEDAK SAAT KEPANASAN DI MOBIL,"Menyimpan air minum di dalam mobil menjadi hal yang biasa dilakukan untuk mengatasi rasa haus ketika bepergian.
 Namun Moms, ternyata kebiasaan menyimpan botol berisi air di dalam mobil ini tidak disarankan.
 Khususnya bila dilakukan pada siang hari yang terik atau saat suhu tinggi maupun musim panas.
 Kebiasaan itu ternyata bisa memicu ledakan!
 Di hari yang panas, matahari bersinar melalui jendela dan melalui botol air.
 Air dalam botol bertindak sebagai lensa dan jika sinar matahari mengenainya, terutama jika botol berada di permukaan yang gelap, bisa jadi dapat memicu api.
 Dalam sebuah video Facebook, Idaho Power, teknisi stasiun baterai Dioni Amuchastegui mencobanya.
 Nah, untuk menghindari kejadian yang tak diinginkan itu sebaiknya hindari saja ya kebiasaan tersebut.
 Walaupun saat ini sedang musim hujan, tidak menutup kemungkinan kebiasaan itu menyebabkan kebakaran.
 Sebab, kadangkala cuaca juga cukup panas dengan paparan sinar matahari cukup terik.",1
1119,12-Feb-18,"Wacana Pendaftaran Akun Medsos Tidak Hanya Menggunakan e-KTP, untuk Mendukung Jokowi","Cara membuat akun medsos dengan baik dan benar,harus menyertakan
 1.KTP
 2.KARTU KELUARGA
 3.NPWP
 4.JAMSOSTEK
 5.TANDA TANGAN JURAGAN PARTAI
 6.DUKUNG JOKOWI
 7.????
 Sejak kapan PDIP punya Saham Medsos?",0
1120,27-Oct-17,Keajaiban terjadi hari ini: Amerika dan Kanada melihat dua matahari.,"Keajaiban terjadi hari ini: Amerika dan Kanada melihat dua matahari. Inilah yg disebut: Hunters Moon. Ini terjadi karena perubahan orbit, matahari terbenam dan bulan terbit pada saat bersamaan keduanya berhadapan satu sama lain pada sudut dan derajat tertentu. Bulan memantulkan cahaya matahari dengan begitu terangnya sehingga terasa seperti ada dua matahari",1
1121,6-Sep-17,Pemerintah Memantau Jalur Komunikasi dan Media Sosial Masyarakat,"Beredar info di WA Group. Akan hal ini..
 
 “Mulai Besok dan Seterusnya ada Peraturan Komunikasi baru.
 
 Semua panggilan Dicatat
 
 Semua rekaman Panggilan Telepon Tersimpan
 
 WhatsApp dipantau
 
 Twitter dipantau
 
 Facebook dipantau
 
 Semua media sosial Dan forum dimonitor
 
 Informasikan kepada Mereka yang tidak Tahu.",1
1122,6-Feb-17,"Running text Metro TV, Istighosah Tanggal 5 Februari Dirumah Djan Faridz Dihadiri Oleh Kiai Said Aqil Siroj","Running text Metro TV, Istighosah Tanggal 5 Februari Dirumah Djan Faridz Dihadiri Oleh Kiai Said Aqil Siroj",1
1123,27-Dec-16,Indochina Penyebutan Untuk Negara Baru Indonesia-China,"Sebuah postingan foto kontainer dengan tulisan Indocina diberi narasi provokatif. Berikut narasinya:
 apa negara indocina itu memang ada……? Presidennya siapa……?",0
1124,15-Dec-16,Antasari Azhar Tidak Memiliki Akun Twitter,"Beredar kabar mengenai akun Twitter atas nama Antasari Azhar, mantan Ketua KPK, mengomentari kasus Basuki Tjahaja Purnama (Ahok)",1
1125,5-Nov-16,Presiden Mengundang Pelaku Pembakaran Masjid Tolikara,"This, will never be forgotten",1
1126,10-Aug-20,"Pidato Lengkap Jokowi, Negara Kita Tidak Pernah Berhutang Hanya Melakukan Pinjaman Dari Luar Negeri",Haiyyaaa .. ini plecident +62 itu hoo .. ?!! Plecident +62 ini tidak hutang lho .. cuma pinjam pinjam lual negeli ..,1
1127,1-Aug-20,Nyanyian yg jadi kenyataan dan menyedihkan,Nyanyian yg jadi kenyataan dan menyedihkan…,1
1128,27-Jul-20,Jokowi Jarang Menggunakan Busana Jawa Karena Kuno dan Gak Pede,Jokowi jarg mngenakan busana Jawa Krn busana Jawa kuno gak PD.,1
1129,10-Jul-20,Satpol PP Pakai Sepeda Brompton Harga Seratus Juta Hasil Foya-Foya Uang Rakyat,"Waduh satpol pp pakai sepeda dg harga seratus juta, buatan inggris. Kadang emg ngenas lihat pejbt publik suka bgt memfoya2kan uang rakyat. Ini satpol pp daerah mana ya ?",1
1130,1-Jul-20,Pemuda/Pemudi Mengatasnamakan Universitas/Perguruan Tinggi Meminta Foto KTP,"Jika ada Pemuda/Pemudi yang mengatas namakan dari universitas/perguruan tinggi dan meminta anda untuk menunjukkan KTP dengan alasan sebagai bahan untuk skripsi dan orang tersebut akan memfoto KTP anda, jangan diijinkan. Karena foto KTP tersebut di gunakan untuk Peminjaman Online.",1
1131,19-Jun-20,bupati Luwu Utara terbaring di RS karena terjatuh dari motornya waktu antar BanSos COvid-19,Mohon Do’a. Salam ILUNI UI Ibu bupati Luwu Utara sedang terbaring di RS. Beliau terjatuh dari motornya waktu antar BanSos ke pelosok. Semoga segera pulih ya bu… Bisa bekerja kembali. Aamiin yaaa ALLah.,1
1132,4-Apr-20,"Video Italian millionaire terjun Dari bagunan, karena keluarga nya semua kena virus corona","Ternyata uang bukan segalanya,: Italian millionaire terjun Dari bagunan, karena keluarga nya semua kena virus corona sdh mati semua día pun ikut serta sadness",1
1133,28-Mar-20,"Kim Jong Un Mengenakan Kemeja Putih Bertuliskan Bersih, Merakyat, Kerja Nyata","Ndro kayak nya kita butuh Kim Jong Un,. Untuk mengatur TKA yg susah diatur.",1
1134,3-Feb-20,They call it disinfection?,They call it disinfection? Indonesia… no words.,1
1135,29-Jan-20,CHINA Baru Saja Bangun Rumah Sakit 57 Lantai,"RUAAAARRRR.. BIASAAA..👍
 
 CHINA Baru Saja Bangun Rumah Sakit 57 Lantai,
 Khusus Untuk Pasien Virus Corona..
 Dalam Waktu 16 Jam Menyelesaikan Lantai Pertama, dan 19 Hari Selesai 57 Lantai Termasuk Listrik, Air dan Semua Peralatan Rumah Sakit…
 
 #VIRUS_CORONA",1
1136,20-Dec-19,"Surat Berisi Cuti Libur Natal Tanggal 23, 24 Desember 2019",edaran cuti bersama Hari Raya Natal jatuh pada tanggal 23-24 Desember 2019,1
1137,30-Nov-19,Video Habib Rizieq Shihab tiba di Bandara Juanda,Habib Rizieq Shihab Tiba di Bandara Juanda,1
1138,23-Nov-19,Subjudul Cover Majalah Tempo : Ahok dijadikan bos Pertamina untuk menguasai Blok Masela,Pengusaha Tomy Winata mendadak masuk ke pembangunan Blok Masela. Bisa menggelembungkan biaya proyek LNG terbesar di Indonesia itu.,1
1139,6-Nov-19,Virus Babi Hog Cholera Menular pada Manusia,"Areal Medan dan sekitarnya Stop beli daging babi untuk dimasak dan dimakan. Atau untuk dijual. BERBAHAYA. Ada Wabah Virus mematikan manusia,” demikian cuplikan isi percakapan WA tersebut.",1
1140,6-Sep-19,PT Waskita Karya Bantah Adakan Interview Rekruitmen Karyawan,"halo, dapat dipastikan surat panggilan tersebut HOAX alias penipuan ya. tetap berhati-hati dalam menerima informasi",1
1141,14-Jun-19,PESAN SINGKAT ARAHAN KAPOLRI SEBUT TNI AKAN TUNDUK PADA HUKUM KEPOLISIAN,"Upppssss………….
Aduhh begimane ini pakpol Bocor lagi ada arahan dari kapolri
Ada arahan dari kabagintel polri bocor dan asop polri bocor bocor lagi 🤣😂🤣😂 wayae wayae wayae …",1
1142,26-Apr-19,SUSUNAN KABINET KERJA JILID II JOKOWI MARUF,"Susunan Kabinet Indonesia Kerja Periode 2
Presiden RI : Ir. H. Joko Widodo
Wakil Presiden RI : Prof. Dr (HC) KH. Ma’ruf Amin",1
1143,4-Apr-19,Video Polisi Bagi-Bagi Sembako Jelang Pilpres 2019,"Didepan pasar gede, solo. Silahkan nilai sendiri. Udah malas mention polisi, kpu dan bawaslu, pekerjaan sia2. Koar-koar sok suci. Jijiklah!!!",1
1144,16-Feb-19,Kuaci Direbus dengan Tulang Babi,"CnP
sila viral kan pd ummah..
kuaci ni pernah famous tahun 1996 dulu, masa sy dok mkn (time reja) director sy cina mualaf tegoq… dia kata (sambil tunjuk bahasa cina kt belakang bungkusan tu) kuaci ni direbus bersama tulang babi",1
1145,26-Jan-19,"Jokowi Bilang PKI Tidak Bersalah, apalagi Mengancam","Presiden Joko Widodo menilai bukan komunisme, komunis tidak pernah salah menurut sejarah aslinya justru mereka korban, justru radikalisme dan faham garis keras yang menjadi ancaman terbesar buat dasar negara",1
1146,23-Oct-18,tentang bakal dihapusnya Kementerian Agama diganti namanya,"adanya rumusan yang sudah di bentuk dan akan di terapkan paksa di Jokowi 2 periode.

Yaitu tentang bakal dihapusnya Kementerian Agama diganti namanya menjadi:

Kementerian Urusan Haji Zakat dan Wakaf…",1
1147,28-Agu-18,Y2K38 Komputer tidak akan bisa membedakan antara waktu nyata dengan data yang tercatat,"Kini, para ilmuwan menemukan permasalahan yang nyaris sama dengan Y2K. Kiamat komputer diprediksi akan terjadi pada 19 Januari 2038 pada 03:14:-7 UTC. Karena ini merupakan angka maksimum yang bisa dicatat oleh sistem yang masih menggunakan 32 bit.",1
1148,04-Agu-18,Makin Parah Pesawat Kepresidenan Dijual?,PESAWAT KEPRESIDENAN DIJUAL? PENJUALAN PESAWAT UNTUK EFISIENSI ANGGARAN,1
1149,11-Jul-18,KAHMI Menyelenggarakan Deklarasi Dukungan untuk Anies Baswedan sebagai Capres 2019,UNDANGAN DEKLARASI DUKUNGAN KAHMI UNTUK CALON PRESIDEN ANIES,1
1150,3-May-18,"Tidak Ada Sekber Ormas dan OKP untuk Capres dan Cawapres, Jokowi dengan Tito","Telah beredar SEKBER ORMAS DAN OKP dalam persiapan Capres dan Cawapres 2019-2024 Presiden Joko Widodo dengan Kapolri Jenderal Pol. Prof. H. Muhammad Karnavian, Ph. D., (Kawan Tito) adalah TIDAK BENAR / HOAX BE SMART NETIZEN YAA MITRA HUMAS ,",0
1151,11-Apr-18,Kadisdik Sumsel Mengklarifikasi Bahwa Selebaran Aksi Kelulusan Pelajar Adalah Hoaks,"Debunk Ini berisi klarifikasi dari Kadisdik Sumsel terkait selebaran aksi kelulusan pelajar yang beredar di media sosial. Dinas Pendidikan Sumsel langsung mengeluarkan ultimatum agar kegiatan tidak terlaksana. Tak hanya kepada siswa, ia pun memberikan peringatan bagi sekolah agar sekiranya mampu mewadahi kegiatan ini dan diarahkan ke kegiatan positif dan edukatif.",1
1152,21-Mar-18,Kunjungan Jokowi ke NZ disambut aksi Papua Merdeka,VIRAL Video Jokowi DIPERMALUKAN di Selandia Baru. Intelijen Kecolongan?,0
1153,3-Jan-18,Presiden Korea Utara Mengatakan: Hanya Agama Islam yang Boleh Masuk di Korea Utara,"Presiden korea utara mengatakan : hanya agama islam yg boleh masuk di korea utara, kami menirama islam berdiri di korea utara dan mendukung korea utara kedepnya dapat mnjdi negara yg mayoritas muslim…
Slain islam , tidak kami izinkan agama lain masuk ke korea utara… !",1
1154,6-Oct-17,PKI KETANGKEP BASAH...!!,"PKI KETANGKEP BASAH…!!
 
 #BREAKING_NEWS ; Acara PKI Di Klender Jakarta Timur Di Bubarkan Oleh TNI, FPI, FBR dan Bang JAPAR…!!!
 
 .",0
1155,20-Jan-17,Kapolda Anton Charliyan Tiba-Tiba Melakukan Pencitraan Berpakaian Islami,Kapolda Anton Charliyan Tiba-Tiba Melakukan Pencitraan Berpakaian Islami,0
1156,24-Nov-16,Kebakaran Mengurung Israel Setelah Dua Hari Pelarangan Adzan di Palestina,"Kebakaran mengurung israel dari segala penjuru. Sudah 11 titik besar dan kini mendekati pangkalan militer israel. Kebakaran terjadi berselang 2 hari pelarangan adzan di wilayah Palestina. Israel mengemis bantuan ke Turki,,Yunani dan Cyprus. Allahu Akbar…!!!!!",0
1157,19-Nov-16,Dai Arifin Ilham Unggah Postingan Foto Ribuan Umat Muslim Rohingya Yang Dibakar Hidup-Hidup,Ribuan Umat Muslim Rohingya Yang Dibakar Hidup-Hidup,1
1158,10-Oct-16,Pembuat Desain Roti Al Maidah: 51,BERANI BERBUAT BERANI TANGGUNG JAWAB BUKAN KABUR SEMBUNYI,1
